name|type
knacks_occultist|An occultist learns one knack, or 0-level psychic spell, each time he selects an implement school (including when he again selects a school that he has already learned to use). These spells are cast like any other spell, but they can be cast any number of times per day. Knacks cast using any other spell slots because of metamagic feats applied to them, for example, consume spell slots as normal.
mental focus_occultist|An occultist can invest a portion of his mental focus into his chosen implements for the day, allowing him to utilize a variety of abilities depending on the implements and the amount of mental focus invested in them. An occultist has a number of points of mental focus equal to his occultist level + his Intelligence modifier; these points refresh each day. He can divide this mental focus between his implements in any way he desires. If an implement is lost or destroyed, the focus invested in it is lost as well, though the occultist still refreshes those points of focus normally. Once mental focus is invested inside an implement, the implement gains the resonant power of its implement school (see page 50), and the occultist can expend the mental focus stored in the implement to activate the associated focus powers he knows. If a resonant power grants a bonus that varies based on the amount of mental focus invested in the implement, the bonus is determined when the focus is invested, and is not reduced or altered by expending the mental focus invested in the item. Once all of the mental focus in an implement has been expended, it loses its resonant power until mental focus is once again invested in the implement. The implement grants its resonant power to whoever possesses it; the occultist can lend the implement to an ally to assist that ally, but if he does so, he has difficulty casting that implement's spells (see Implements on page 47) and can't expend that implement's focus on focus powers until he retrieves the implement or refreshes his focus. The occultist refreshes his mental focus once each day after receiving at least 8 hours of sleep. After refreshing his mental focus, the occultist must spend 1 hour preparing his implements and investing them with this power. Mental focus that is not used before the next time the occultist refreshes his focus is lost. The occultist can choose to save generic mental focus inside his own body instead of investing all of it, but expending this focus comes at a higher cost. Any focus power the occultist activates with generic focus costs twice as much mental focus to use (and to maintain, if applicable). The occultist can expend his generic focus through an appropriate implement on any focus power he knows, but an implement he didn't invest any focus in at the start of the day grants no resonant power.
magic item skill_occultist|At 2nd level, an occultist's knowledge of magic items grants him a bonus when attempting to use them. He gains a bonus on all Use Magic Device checks equal to 1/2 his occultist level.
object reading_occultist|At 2nd level, an occultist learns how to read information from items he examines. Examining an item in this way requires him to spend 1 minute handling the item. If the item is a magic item, the occultist learns its properties and command word as if he had successfully examined the item using detect magic and succeeded at a Spellcraft check. This ability does not reveal whether the item is cursed unless the occultist's class level is equal to or greater than the caster level of the item. If the item has any historical significance, the occultist learns one piece of information about its past (as determined by the GM). Finally, if the item was last used no longer than 1 day ago per the occultist's class level, the occultist learns one piece of information about the last creature to use the item. This information might be a glimpse of the creature's appearance, a brief vision of what it saw while using the item, or perhaps its emotional state when it last used the item. The GM determines what information is gained in this way. This functions like the psychometry occult skill unlock (see page 196), but doesn't require a skill check and can be used at will.
shift focus_occultist|At 4th level, an occultist gains the ability to shift his mental focus from one implement to another, though some of the focus is lost along the way. Shifting mental focus removes a number of points of mental focus from one implement and adds the same number - 1 to another implement; this takes 1 minute of quiet contemplation while touching both implements. The occultist can shift his mental focus only from one implement to another implement; he can't shift generic focus into an implement. Unlike expending focus normally, this shift can reduce the effect of a resonant power in the implement from which the mental focus was taken. It does not, however, add to the resonant power of the implement to which the focus is added.
aura sight_occultist|At 5th level, the occultist can read the auras of creatures around him as a standard action. This functions as the aura sight ACG spell with a duration of 1 round.
magic circles_occultist|At 8th level, an occultist learns how to draw magic circles. To draw a circle, he must have chalk, salt, blood, powdered silver, or some other appropriate substance at hand (although he can press a magic circle into a softer surface such as dirt or clay). Drawing a circle takes 1 minute and requires the occultist to expend 1 point of mental focus (either generic focus or focus from any one of his implements). Once completed, this circle functions as a permanent magic circle against any alignment of the occultist's choosing. The circle can't be against a component of the occultist's alignment (if he is lawful good, for example, it can't be a magic circle against good or law ). The circle remains until its form is physically broken (for example, if the lines are smeared or the salt is scattered). Only a living creature can break the circle; environmental effects can't break it. An occultist can have only one circle created in this way at a time. If he creates a second circle, the first one loses all its magic powers. This type of magic circle can't normally be focused inward to bind an outsider.
outside contact_occultist|At 8th level, the occultist learns the true name of one particular outsider. This outsider can have no more than 3 Hit Dice. Whenever the occultist creates a magic circle, he can expend 1 additional point of mental focus to focus the circle inward and lure that outsider to the circle (similar to using lesser planar binding ). The outsider is bound for up to 10 minutes. During this time, the occultist can bargain with the outsider for one piece of information. This requires a payment of at least 20 gp (or items of at least that value that are of interest to the outsider). The bargaining requires the occultist to attempt a Diplomacy or Intimidate check opposed by the outsider's Sense Motive check. Succeeding at the check by 5 or more reduces this cost to 10 gp. Failure increases the price to 30 gp, whereas failure by 5 or more allows the outsider to escape without giving any information (or receiving payment). The information gained can be anything that might be learned through a divination spell. The information is always correct but is frequently cryptic. It typically takes the outsider 1d3 hours to gather the information, at which point it returns of its own accord to deliver the information as promised. The outsider always resents being used in this way, even if the occultist and the outsider share an alignment component. After the occultist bargains with the outsider, the magic circle loses all power and the outsider is sent back to its home plane. At 12th level and every 4 levels thereafter, the occultist learns to contact one additional outsider of the same type or a different type. Although he can call only one outsider in this way at a time, the occultist can ask such an outsider one additional question per calling for every 4 occultist levels he possesses beyond 8th (to a maximum of four questions at 20th level), all for the same bargaining price. The questions must be in some way related to one another. At 16th level, in lieu of asking questions, the occultist can demand that the outsider deliver a message to any one friendly creature that the occultist knows personally. The occultist can also task the outsider to deliver one object weighing no more than 1 pound. Either of these demands requires an opposed check as described above. Delivery typically takes 1d4 hours, but this period is reduced to 1d6 minutes if the recipient is within 1 mile of the occultist (or even less if the recipient is within sight). The occultist must be able to accurately describe the recipient in both name and appearance. This ability can't be used to deliver anything to a location, or to enemies or creatures that are unfriendly to the occultist.
binding circles_occultist|At 12th level, whenever the occultist creates a magic circle he can expend 1 additional point of mental focus to make it a binding circle. A binding circle is invisible and counts as a trap. If a living creature of the corresponding alignment steps inside it, the trap triggers and binds the creature inside the circle. While it can move freely within the circle, it can't leave the circle, make attacks against targets outside the circle, cast spells that cross the circle's boundary (the circle blocks line of effect from the inside), or use any ability that would allow it to leave the circle or disturb the circle in any way. When the circle traps a creature in this way, the creature can attempt a Reflex save to dive out of the circle before the magic takes hold (DC = 10 + 1/2 the occultist's level + the occultist's Intelligence modifier). A creature that can see the circle gains a +4 bonus on this save. If it fails its save, the creature must remain in the circle, although it can attempt a Will save at the same DC at the end of each hour of imprisonment to escape. A binding circle can be spotted with a successful Perception check (DC = 25 + 1/2 the occultist's level). It can also be disarmed using Disable Device, with the same DC. Anything crossing the boundary of the circle from the outside, such as a weapon, spell effect, or special ability, immediately breaks the circle and frees the creature trapped inside.
fast circles_occultist|At 16th level, the occultist learns to draw magic circles very quickly. He can draw a magic circle as a full-round action, but any circle drawn in this way has a duration of 1 minute per occultist level (unless it's drawn in conjunction with the outside contact class feature, in which case it lasts for 10 minutes as normal). If he draws a binding circle in this way, its duration is 1 round per occultist level.
implement mastery_occultist|At 20th level, an occultist learns to master one of his implements. He selects one implement school. Whenever he uses a focus power from an implement of that school, the DC to resist any of the effects increases by 4 and he treats his occultist level as 4 higher when determining the effects and duration of that power. In addition, the occultist gains 4 extra points of mental focus, but these points must always be invested in implements of the mastered school. He can't save these points or expend them for any ability other than the focus powers of those implements. The hardness of each of the occultist's implements of the mastered school increases by an additional 20 as long as the item has at least 1 point of mental focus stored within. Alternate Capstones
spells_oracle|An oracle casts divine spells drawn from the cleric spell lists . She can cast any spell she knows without preparing it ahead of time. To learn or cast a spell, an oracle must have a Charisma score equal to at least 10 + the spell level. The Difficulty Class for a saving throw against an oracle's spell is 10 + the spell's level + the oracle's Charisma modifier. Like other spellcasters, an oracle can cast only a certain number of spells per day of each spell level. Her base daily spell allotment is given on Table 2-5. In addition, she receives bonus spells per day if she has a high Charisma score (see Table 1-3 of the Pathfinder RPG Core Rulebook ). Unlike other divine spellcasters, an oracle's selection of spells is extremely limited. An oracle begins play knowing four 0-level spells and two 1st-level spells of her choice. At each new oracle level, she gains one or more new spells, as indicated on Table 2-6. Unlike spells per day, the number of spells an oracle knows is not affected by her Charisma score; the numbers on Table 2-6 are fixed. In addition to the spells gained by oracles as they gain levels, each oracle also adds all of either the cure spells or the inflict spells to her list of spells known (cure spells include all spells with curein the name, inflict spells include all spells with inflictin the name). These spells are added as soon as the oracle is capable of casting them. This choice is made when the oracle gains her first level and cannot be changed. Upon reaching 4th level, and at every even-numbered oracle level after that (6th, 8th, and so on), an oracle can choose to learn a new spell in place of one she already knows. In effect, the oracle loses the old spell in exchange for the new one. The new spell's level must be the same as that of the spell being exchanged. An oracle may swap only a single spell at any given level, and must choose whether or not to swap the spell at the same time that she gains new spells known for the level. She cannot swap any cure or inflict spells, nor can she swap any spells gained from her mystery. Unlike a cleric, an oracle need not prepare her spells in advance. She can cast any spell she knows at any time, assuming she has not yet used up her spells per day for that spell level. Oracles do not need to provide a divine focus to cast spells that list divine focus (DF) as part of the components.
mystery_oracle|Each oracle draws upon a divine mystery to grant her spells and powers. This mystery also grants additional class skills and other special abilities. This mystery can represent a devotion to one ideal, prayers to deities that support the concept, or a natural calling to champion a cause. For example, an oracle with the waves mystery might have been born at sea and found a natural calling to worship the gods of the oceans, rivers, and lakes, be they benign or malevolent. Regardless of its source, the mystery manifests in a number of ways as the oracle gains levels. An oracle must pick one mystery upon taking her first level of oracle. Once made, this choice cannot be changed. At 2nd level, and every two levels thereafter, an oracle learns an additional spell derived from her mystery. These spells are in addition to the number of spells given on Table 2-6. They cannot be exchanged for different spells at higher levels.
oracle's curse_oracle|Each oracle is cursed, but this curse comes with a benefit as well as a hindrance. This choice is made at 1st level, and once made, it cannot be changed. The oracle's curse cannot be removed or dispelled without the aid of a deity. An oracle's curse is based on her oracle level plus one for every two levels or Hit Dice other than oracle. Each oracle must choose a single curse. All curses can be found here
orisons_oracle|Oracles learn a number of orisons, or 0-level spells, as noted on Table 2-6 under Spells Known.These spells are cast like any other spell, but they do not consume any slots and may be used again.
revelation_oracle|At 1st level, 3rd level, and every four levels thereafter (7th, 11th, and so on), an oracle uncovers a new secret about her mystery that grants her powers and abilities. The oracle must select a revelation from the list of revelations available to her mystery. If a revelation is chosen at a later level, the oracle gains all of the abilities and bonuses granted by that revelation based on her current level. Unless otherwise noted, activating the power of a revelation is a standard action.
final revelation_oracle|At 20th level, an oracle learns the final revelation about her mystery, granting her amazing powers and abilities. The nature of these bonuses depends upon the oracle's mystery. Alternate Capstones
aura of good_paladin|The power of a paladin's aura of good (see the detect good spell) is equal to her paladin level.
detect evil (sp)_paladin|At will, a paladin can use detect evil , as the spell. A paladin can, as a move action, concentrate on a single item or individual within 60 feet and determine if it is evil, learning the strength of its aura as if having studied it for 3 rounds. While focusing on one individual or object, the paladin does not detect evil in any other object or individual within range.
smite evil_paladin|Once per day, a paladin can call out to the powers of good to aid her in her struggle against evil. As a swift action, the paladin chooses one target within sight to smite. If this target is evil, the paladin adds her Charisma bonus (if any) to her attack rolls and adds her paladin level to all damage rolls made against the target of her smite. If the target of smite evil is an outsider with the evil subtype, an evil-aligned dragon, or an undead creature, the bonus to damage on the first successful attack increases to 2 points of damage per level the paladin possesses. Regardless of the target, smite evil attacks automatically bypass any DR the creature might possess. In addition, while smite evil is in effect, the paladin gains a deflection bonus equal to her Charisma modifier (if any) to her AC against attacks made by the target of the smite. If the paladin targets a creature that is not evil, the smite is wasted with no effect. The smite evil effect remains until the target of the smite is dead or the next time the paladin rests and regains her uses of this ability. At 4th level, and at every three levels thereafter, the paladin may smite evil one additional time per day, as indicated on Table: Paladin, to a maximum of seven times per day at 19th level.
divine grace_paladin|At 2nd level, a paladin gains a bonus equal to her Charisma bonus (if any) on all saving throws.
lay on hands_paladin|Beginning at 2nd level, a paladin can heal wounds (her own or those of others) by touch. Each day she can use this ability a number of times equal to 1/2 her paladin level plus her Charisma modifier. With one use of this ability, a paladin can heal 1d6 hit points of damage for every two paladin levels she possesses. Using this ability is a standard action, unless the paladin targets herself, in which case it is a swift action. Despite the name of this ability, a paladin only needs one free hand to use this ability. Alternatively, a paladin can use this healing power to deal damage to undead creatures, dealing 1d6 points of damage for every two levels the paladin possesses. Using lay on hands in this way requires a successful melee touch attack and doesn't provoke an attack of opportunity. Undead do not receive a saving throw against this damage.
aura of courage_paladin|At 3rd level, a paladin is immune to fear (magical or otherwise). Each ally within 10 feet of her gains a +4 morale bonus on saving throws against fear effects. This ability functions only while the paladin is conscious, not if she is unconscious or dead.
divine health_paladin|At 3rd level, a paladin is immune to all diseases, including supernatural and magical diseases, including mummy rot.
mercy_paladin|At 3rd level, and every three levels thereafter, a paladin can select one mercy. Each mercy adds an effect to the paladin's lay on hands ability. Whenever the paladin uses lay on hands to heal damage to one target, the target also receives the additional effects from all of the mercies possessed by the paladin. A mercy can remove a condition caused by a curse, disease, or poison without curing the affliction. Such conditions return after 1 hour unless the mercy actually removes the affliction that causes the condition. All available mercy options can be found here These abilities are cumulative. For example, a 12th-level paladin's lay on hands ability heals 6d6 points of damage and might also cure fatigued and exhausted conditions as well as removing diseases and neutralizing poisons. Once a condition or spell effect is chosen, it can't be changed.
channel positive energy_paladin|When a paladin reaches 4th level, she gains the supernatural ability to channel positive energy like a cleric. Using this ability consumes two uses of her lay on hands ability. A paladin uses her level as her effective cleric level when channeling positive energy. This is a Charisma-based ability.
spells_paladin|Beginning at 4th level, a paladin gains the ability to cast a small number of divine spells which are drawn from the paladin spell list presented in Spell Lists. A paladin must choose and prepare her spells in advance. To prepare or cast a spell, a paladin must have a Charisma score equal to at least 10 + the spell level. The Difficulty Class for a saving throw against a paladin's spell is 10 + the spell level + the paladin's Charisma modifier. Like other spellcasters, a paladin can cast only a certain number of spells of each spell level per day. Her base daily spell allotment is given on Table: Paladin. In addition, she receives bonus spells per day if she has a high Charisma score (see Table: Ability Modifiers and Bonus Spells). When Table: Paladin indicates that the paladin gets 0 spells per day of a given spell level, she gains only the bonus spells she would be entitled to based on her Charisma score for that spell level. A paladin must spend 1 hour each day in quiet prayer and meditation to regain her daily allotment of spells. A paladin may prepare and cast any spell on the paladin spell list, provided that she can cast spells of that level, but she must choose which spells to prepare during her daily meditation. Through 3rd level, a paladin has no caster level. At 4th level and higher, her caster level is equal to her paladin level - 3.
divine bond (sp)_paladin|Upon reaching 5th level, a paladin forms a divine bond with her god. This bond can take one of two forms. Once the form is chosen, it cannot be changed. The first type of bond allows the paladin to enhance her weapon as a standard action by calling upon the aid of a celestial spirit for 1 minute per paladin level. When called, the spirit causes the weapon to shed light as a torch. At 5th level, this spirit grants the weapon a +1 enhancement bonus. For every three levels beyond 5th, the weapon gains another +1 enhancement bonus, to a maximum of +6 at 20th level. These bonuses can be added to the weapon, stacking with existing weapon bonuses to a maximum of +5, or they can be used to add any of the following weapon properties: axiomatic , brilliant energy , defending , disruption , flaming , flaming burst , holy , keen , merciful , and speed . Adding these properties consumes an amount of bonus equal to the property's cost (see Table: Melee Weapon Special Abilities). These bonuses are added to any properties the weapon already has, but duplicate abilities do not stack. If the weapon is not magical, at least a +1 enhancement bonus must be added before any other properties can be added. The bonus and properties granted by the spirit are determined when the spirit is called and cannot be changed until the spirit is called again. The celestial spirit imparts no bonuses if the weapon is held by anyone other than the paladin but resumes giving bonuses if returned to the paladin. These bonuses apply to only one end of a double weapon. A paladin can use this ability once per day at 5th level, and one additional time per day for every four levels beyond 5th, to a total of four times per day at 17th level. If a weapon bonded with a celestial spirit is destroyed, the paladin loses the use of this ability for 30 days, or until she gains a level, whichever comes first. During this 30-day period, the paladin takes a -1 penalty on attack and weapon damage rolls. The second type of bond allows a paladin to gain the service of an unusually intelligent, strong, and loyal steed to serve her in her crusade against evil. This mount may come from the following list:
medium paladins_paladin|Camel , Elk , Giraffe , Horse , Seahorse, Giant , Yak , Zebra
small paladins_paladin|Antelope , Boar , Capybara , Dog , Eohippus , Pony , Ram , Reindeer , Stag , Weasel, Giant , Wolfdog This mount functions as a druid's animal companion, using the paladin's level as her effective druid level. Bonded mounts have an Intelligence of at least 6. Once per day, as a full-round action, a paladin may magically call her mount to her side. This ability is the equivalent of a spell of a level equal to one-third the paladin's level. The mount immediately appears adjacent to the paladin. A paladin can use this ability once per day at 5th level, and one additional time per day for every 4 levels thereafter, for a total of four times per day at 17th level. At 11th level, the mount gains the celestial template and becomes a magical beast for the purposes of determining which spells affect it. At 15th level, a paladin's mount gains spell resistance equal to the paladin's level + 11. Should the paladin's mount die, the paladin may not summon another mount for 30 days or until she gains a paladin level, whichever comes first. During this 30-day period, the paladin takes a -1 penalty on attack and weapon damage rolls.
aura of resolve_paladin|At 8th level, a paladin is immune to charm spells and spell-like abilities. Each ally within 10 feet of her gains a +4 morale bonus on saving throws against charm effects. This ability functions only while the paladin is conscious, not if she is unconscious or dead.
aura of justice_paladin|At 11th level, a paladin can expend two uses of her smite evil ability to grant the ability to smite evil to all allies within 10 feet, using her bonuses. Allies must use this smite evil ability by the start of the paladin's next turn and the bonuses last for 1 minute. Using this ability is a free action. Evil creatures gain no benefit from this ability.
aura of faith_paladin|At 14th level, a paladin's weapons are treated as good-aligned for the purposes of overcoming damage reduction. Any attack made against an enemy within 10 feet of her is treated as good-aligned for the purposes of overcoming damage reduction. This ability functions only while the paladin is conscious, not if she is unconscious or dead.
aura of righteousness_paladin|At 17th level, a paladin gains DR 5/evil and immunity to compulsion spells and spell-like abilities. Each ally within 10 feet of her gains a +4 morale bonus on saving throws against compulsion effects. This ability functions only while the paladin is conscious, not if she is unconscious or dead.
holy champion_paladin|At 20th level, a paladin becomes a conduit for the power of her god. Her DR increases to 10/evil. Whenever she uses smite evil and successfully strikes an evil outsider, the outsider is also subject to a banishment , using her paladin level as the caster level (her weapon and holy symbol automatically count as objects that the subject hates). After the banishment effect and the damage from the attack is resolved, the smite immediately ends. In addition, whenever she channels positive energy or uses lay on hands to heal a creature, she heals the maximum possible amount.
code of conduct_paladin|A paladin must be of lawful good alignment and loses all class features except proficiencies if she ever willingly commits an evil act. Additionally, a paladin's code requires that she respect legitimate authority, act with honor (not lying, not cheating, not using poison, and so forth), help those in need (provided they do not use the help for evil or chaotic ends), and punish those who harm or threaten innocents.
associates_paladin|While she may adventure with good or neutral allies, a paladin avoids working with evil characters or with anyone who consistently offends her moral code. Under exceptional circumstances, a paladin can ally with evil associates, but only to defeat what she believes to be a greater evil. A paladin should seek an atonement spell periodically during such an unusual alliance, and should end the alliance immediately should she feel it is doing more harm than good. A paladin may accept only henchmen, followers, or cohorts who are lawful good. Ex-Paladins A paladin who ceases to be lawful good, who willfully commits an evil act, or who violates the code of conduct loses all paladin spells and class features (including the service of the paladin's mount, but not weapon, armor, and shield proficiencies). She may not progress any further in levels as a paladin. She regains her abilities and advancement potential if she atones for her violations (see the atonement spell description in Spell Lists), as appropriate. Alternate Capstones
spells_psychic|A psychic casts psychic spells drawn from the psychic class's spell list . She can cast any spell she knows without preparing it ahead of time. To learn or cast a spell, a psychic must have an Intelligence score equal to at least 10 + the spell level. The Difficulty Class for a saving throw against a psychic's spell is equal to 10 + the spell's level + the psychic's Intelligence modifier. A psychic can cast only a certain number of spells of each spell level per day. Her base daily spell allotment is given on Table 1-7: Psychic. In addition, she receives bonus spells per day if she has a high Intelligence score (see Table 1-3 on page 17 of the Pathfinder RPG Core Rulebook ). The psychic's selection of spells is limited. A psychic begins play knowing four 0-level spells and two 1st-level spells of the psychic's choice. At each new psychic level, she learns one or more new spells, as indicated on Table 1-8: Psychic Spells Known. Unlike a psychic's spells per day, the number of spells a psychic knows isn't affected by her Intelligence score; the numbers on Table 1-8 are fixed. At 4th level and every even-numbered level thereafter (6th, 8th, and so on), a psychic can choose to learn a single new spell in place of one she already knows. In effect, the psychic loses the old spell in exchange for the new one. The new spell's level must be the same as that of the spell being exchanged, and it must be at least 1 level lower than the highest-level spell from the psychic's class list that the psychic can cast. A psychic can swap only a single spell at any given level, and must choose whether or not to swap the spell at the same time that she gains new spells known for the level. A psychic need not prepare her spells in advance. She can cast any psychic spell she knows at any time, assuming she has not yet used up her allotment of spells per day for the spell's level.
knacks_psychic|Psychics learn a number of knacks, or 0-level spells, as noted on Table 1-8. These spells are cast like any other spell, but they don't consume any slots and can be used again. Knacks cast using other spell slots (due to metamagic feats, for example) consume spell slots as normal.
phrenic pool_psychic|A psychic has a pool of supernatural mental energy that she can draw upon to manipulate psychic spells as she casts them. The maximum number of points in a psychic's phrenic pool is equal to 1/2 her psychic level + her Wisdom or Charisma modifier, as determined by her psychic discipline. The phrenic pool is replenished each morning after 8 hours of rest or meditation; these hours don't need to be consecutive. The psychic might be able to recharge points in her phrenic pool in additional circumstances dictated by her psychic discipline. Points gained in excess of the pool's maximum are lost.
phrenic amplifications_psychic|A psychic develops particular techniques to empower her spellcasting, called phrenic amplifications. The psychic can activate a phrenic amplification only while casting a spell using psychic magic, and the amplification modifies either the spell's effects or the process of casting it. The spell being cast is called the linked spell. The psychic can activate only one amplification each time she casts a spell, and doing so is part of the action used to cast the spell. She can use any amplification she knows with any psychic spell, unless the amplification's description states that it can be linked only to certain types of spells. A psychic learns one phrenic amplification at 1st level, selected from the list below. At 3rd level and every 4 levels thereafter, the psychic learns a new phrenic amplification. A phrenic amplification can't be selected more than once. Once a phrenic amplification has been selected, it can't be changed. Phrenic amplifications require the psychic to expend 1 or more points from her phrenic pool to function. Note from Nethys : The full list of phrenic amplifications is available here
psychic discipline (ex or sp)_psychic|Each psychic accesses and improves her mental powers through a particular method, such as rigorous study or attaining a particular mental state. This is called her psychic discipline. She gains additional spells known based on her selected discipline. The choice of discipline must be made at 1st level; once made, it can't be changed. Each psychic discipline gives the psychic a number of discipline powers (at 1st, 5th, and 13th levels), and grants her additional spells known. In addition, the discipline determines which ability score the psychic uses for her phrenic pool and phrenic amplifications abilities. The DC of a saving throw against a psychic discipline ability equals 10 + 1/2 the psychic's level + the psychic's Intelligence modifier. At 1st level, a psychic learns an additional spell determined by her discipline. She learns another additional spell at 4th level and every 2 levels thereafter, until learning the final one at 18th level. These spells are in addition to the number of spells given on Table 1-8. Spells learned from a discipline can't be exchanged for different spells at higher levels. Specific psychic disciplines are further described starting on page 64.
detect thoughts (sp)_psychic|At 2nd level, a psychic can use detect thoughts as a spell-like ability once per day. She can also expend any unused spell slot of 1st level or higher to cast detect thoughts . If she does so, she uses the level of the spell slot expended to determine the Will save DC. When a psychic gains this ability, if she knows detect thoughts , she can learn a different 1st-level spell in place of detect thoughts , losing the old spell in exchange for the new one.
telepathic bond (sp)_psychic|At 9th level, a psychic can use telepathic bond as a spell-like ability once per day, using her psychic level as her caster level. She can't leave herself out of a bond created in this way. She can also expend any unused spell slot of 4th level or higher to cast telepathic bond . Casting the spell using a higher-level spell slot gives no benefit on its own, but the psychic can apply metamagic feats that would increase the spell level to the appropriate level. For instance, if the psychic knows Extend Spell, she can use a 5th-level spell slot to cast extended telepathic bond as a full-round action. When a psychic who knows telepathic bond gains this ability, she can learn a different 4th-level spell in place of telepathic bond , losing the old spell in exchange for the new one.
major amplifications_psychic|At 11th level and every 4 levels thereafter, a psychic can choose one of the following major amplifications in place of a phrenic amplification. Note from Nethys : The full list of major amplifications is available here
telepathy_psychic|At 17th level, the psychic can mentally communicate with any other creature within 100 feet that has a language. It is possible to address multiple creatures at once telepathically, although maintaining a telepathic conversation with more than one creature at a time is just as difficult as both speaking and listening to multiple people at the same time. When a psychic who knows telepathy (see page 189) gains this ability, she can learn a different 5th-level spell in place of telepathy , losing the old spell in exchange for the new one.
remade self (sp)_psychic|At 20th level, the psychic is affected by one of the following spells as a constant spell-like ability: arcane sight , fly , haste , heroism , nondetection , or tongues . This ability is chosen when the psychic reaches 20th level and can't be changed. While the psychic is under the effects of this spell-like ability, each time she casts a psychic spell, she can link one phrenic amplification or major amplification she knows that has a point cost of 1 to that spell without spending any points from her phrenic pool. This amplification is in addition to the normal maximum of one amplification per spell. Alternate Capstones
favored enemy_ranger|At 1st level, a ranger selects a creature type from the ranger favored enemies table. He gains a +2 bonus on Bluff, Knowledge, Perception, Sense Motive, and Survival checks against creatures of his selected type. Likewise, he gets a +2 bonus on weapon attack and damage rolls against them. A ranger may make Knowledge skill checks untrained when attempting to identify these creatures. At 5th level and every five levels thereafter (10th, 15th, and 20th level), the ranger may select an additional favored enemy. In addition, at each such interval, the bonus against any one favored enemy (including the one just selected, if so desired) increases by +2. If the ranger chooses humanoids or outsiders as a favored enemy, he must also choose an associated subtype, as indicated on the table below. (Note that there are other types of humanoid to choose from-those called out specifically on the table below are merely the most common.) If a specific creature falls into more than one category of favored enemy, the ranger's bonuses do not stack; he simply uses whichever bonus is higher.
track_ranger|A ranger adds half his level (minimum 1) to Survival skill checks made to follow or identify tracks.
wild empathy_ranger|A ranger can improve the initial attitude of an animal. This ability functions just like a Diplomacy check to improve the attitude of a person (see Using Skills). The ranger rolls 1d20 and adds his ranger level and his Charisma bonus to determine the wild empathy check result. The typical domestic animal has a starting attitude of indifferent, while wild animals are usually unfriendly. To use wild empathy, the ranger and the animal must be within 30 feet of one another under normal visibility conditions. Generally, influencing an animal in this way takes 1 minute, but, as with influencing people, it might take more or less time. The ranger can also use this ability to influence a magical beast with an Intelligence score of 1 or 2, but he takes a -4 penalty on the check.
combat style feat_ranger|At 2nd level, a ranger must select one of two combat styles to pursue: archery or two-weapon combat. The ranger's expertise manifests in the form of bonus feats at 2nd, 6th, 10th, 14th, and 18th level. He can choose feats from his selected combat style, even if he does not have the normal prerequisites. The benefits of the ranger's chosen style feats apply only when he wears light, medium, or no armor. He loses all benefits of his combat style feats when wearing heavy armor. Once a ranger selects a combat style, it cannot be changed. The full list of Combat Styles can be found
endurance_ranger|A ranger gains Endurance as a bonus feat at 3rd level. Cold (ice, glaciers, snow, and tundra) Desert (sand and wastelands) Forest (coniferous and deciduous) Jungle Mountain (including hills) Plains Planes (pick one, other than Material Plane) Swamp Underground (caves and dungeons) Urban (buildings, streets, and sewers) Water (above and below the surface)
favored terrain_ranger|At 3rd level, a ranger may select a type of terrain from the Favored Terrains table. The ranger gains a +2 bonus on initiative checks and Knowledge (geography), Perception, Stealth, and Survival skill checks when he is in this terrain. A ranger traveling through his favored terrain normally leaves no trail and cannot be tracked (though he may leave a trail if he so chooses). At 8th level and every five levels thereafter, the ranger may select an additional favored terrain. In addition, at each such interval, the skill bonus and initiative bonus in any one favored terrain (including the one just selected, if so desired), increases by +2. If a specific terrain falls into more than one category of favored terrain, the ranger's bonuses do not stack; he simply uses whichever bonus is higher.
hunter's bond_ranger|At 4th level, a ranger forms a bond with his hunting companions. This bond can take one of two forms. Once the form is chosen, it cannot be changed. The first is a bond to his companions. This bond allows him to spend a move action to grant half his favored enemy bonus against a single target of the appropriate type to all allies within 30 feet who can see or hear him. This bonus lasts for a number of rounds equal to the ranger's Wisdom modifier (minimum 1). This bonus does not stack with any favored enemy bonuses possessed by his allies; they use whichever bonus is higher. The second option is to form a close bond with an animal companion. A ranger who selects an animal companion can choose from the following list: Antelope , Armorfish , Baboon , Badger , Bird (Eagle/Hawk/Owl) , Bustard , Camel , Capybara , Cat, Small (Cheetah, Leopard) , Constrictor Snake , Dire Rat , Dog , Elk , Falcon , Hobbe Hound , Horse , Kangaroo , Lizard (Giant Gecko) , Marsupial Devil , Pony , Ram , Reef Snake , Reef Snake , Reindeer , Shark , Spitting Cobra , Stag , Stingray , Swan, Trumpeter , Thylacine , Venomous Snake , Wolf , Wolfdog , Yak , Zebra . If the campaign takes place wholly or partly in an aquatic environment, the ranger may choose from this list instead: Armorfish , Reef Snake , Shark , Stingray . This animal is a loyal companion that accompanies the ranger on his adventures as appropriate for its kind. A ranger's animal companion shares his favored enemy and favored terrain bonuses. This ability functions like the druid animal companion ability (which is part of the Nature Bond class feature), except that the ranger's effective druid level is equal to his ranger level - 3.
